"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"1","Amy Adams",2340.7,29,80.7,"Batman v Superman",330.4
"2","Ben Affleck",2503.5,39,64.2,"Batman v Superman",330.4
"3","Casey Affleck",911.5,23,39.6,"Interstellar",188
"4","Dianna Agron",132.1,5,26.4,"I Am Number Four",55.1
"5","Jessica Alba",952.3,24,39.7,"Fantastic Four (2005)",154.7
"6","Alan Alda",753,22,34.2,"What Women Want",182.8
"7","Joan Allen",854.3,24,35.6,"The Bourne Ultimatum",227.5
"8","Tim Allen",1763,20,88.1,"Toy Story 3",415
"9","Woody Allen",461.3,27,17.1,"Antz",90.8
"10","Mathieu Amalric",300.7,13,23.1,"Quantum of Solace",168.4
"11","Gillian Anderson",146.8,14,10.5,"X-Files",83.9
"12","Julie Andrews",928.3,14,66.3,"Despicable Me 3",264.6
"13","Jennifer Aniston",1627.1,32,50.8,"Bruce Almighty",242.8
"14","Aziz Ansari",168.6,3,56.2,"Epic",107.5
"15","Christina Applegate",1117.1,21,53.2,"Alvin and the Chipmunks 2",219.6
"16","Tom Arnold",415.9,18,23.1,"True Lies",146.3
"17","Gemma Arterton",517.4,13,39.8,"Quantum of Solace",168.4
"18","Kevin Bacon",1519.2,48,31.7,"Apollo 13",173.8
"19","Penn Badgley",134.6,6,22.4,"Easy A",58.4
"20","Alec Baldwin",2437.5,53,46,"Pearl Harbor",198.5
"21","Christian Bale",2215.8,37,59.9,"The Dark Knight",534.9
"22","Eric Bana",1068.3,17,62.8,"Star Trek",257.7
"23","Anne Bancroft",548,28,19.6,"The Graduate",104.9
"24","Antonio Banderas",2386.4,43,55.5,"Shrek 2",441.2
"25","Elizabeth Banks",2811.7,36,78.1,"Catching Fire",424.7
"26","Javier Bardem",722.3,17,42.5,"Skyfall",304.4
"27","Ben Barnes",287.7,5,57.5,"The Chronicles of Narnia: Prince Caspian",141.6
"28","Drew Barrymore",1614.6,36,44.9,"E.T.",435.1
"29","Justin Bartha",1134,12,94.5,"The Hangover",277.3
"30","Jay Baruchel",1074.4,18,59.7,"How to Train Your Dragon",217.6
"31","Kim Basinger",1085,35,31,"Batman",251.2
"32","Angela Bassett",881.1,25,35.2,"Green Lantern",116.6
"33","Jason Bateman",1892,31,61,"Zootopia",341.3
"34","Kathy Bates",2331.1,47,49.6,"Titanic",659.4
"35","Sean Bean",1641.8,31,53,"Fellowship of the Ring",315.5
"36","Warren Beatty",312.2,9,34.7,"Dick Tracy",103.7
"37","Kate Beckinsale",1046.1,25,41.8,"Pearl Harbor",198.5
"38","Ashley Bell",56.2,2,28.1,"The Last Exorcism",41
"39","Jamie Bell",572.8,18,31.8,"King Kong",218.1
"40","Kristen Bell",1021.4,19,53.8,"Frozen",400.7
"41","Lake Bell",365.5,10,36.5,"It's Complicated",112.7
"42","Maria Bello",988.3,30,32.9,"Grown Ups",162
"43","Monica Bellucci",1027.9,16,64.2,"Passion of the Christ",370.8
"44","Roberto Benigni",88.9,11,8.1,"Life Is Beautiful",57.6
"45","Annette Bening",608,27,22.5,"American Beauty",130.1
"46","Melissa Benoist",50.5,2,25.3,"The Longest Ride",37.4
"47","Peter Berg",229.8,5,46,"Collateral",101
"48","Gael Garcia Bernal",107.1,22,4.9,"Babel",34.3
"49","Halle Berry",1987.4,31,64.1,"X-Men: The Last Stand",234.4
"50","Paul Bettany",1713.1,22,77.9,"Avengers: Age of Ultron",459
"51","Justin Bieber",79.2,2,39.6,"Justin Bieber",73
"52","Jessica Biel",772.9,24,32.2,"I Now Pronounce You Chuck and Larry",120.1
"53","Rachel Bilson",95.3,5,19.1,"Jumper",80.2
"54","Mike Binder",19.1,2,9.5,"The Upside of Anger",18.8
"55","Jack Black",1616.6,24,67.4,"King Kong",218.1
"56","Lucas Black",730.2,12,60.8,"Furious 7",353
"57","Macon Blair",8.5,3,2.8,"The Florida Project",5.1
"58","Cate Blanchett",3106.2,42,74,"Return of the King",377.8
"59","Nikki Blonsky",118.9,3,39.6,"Hairspray (2007)",118.9
"60","Orlando Bloom",2988.4,18,166,"Dead Man's Chest",423.3
"61","Emily Blunt",1067,26,41,"Into the Woods",128
"62","Chadwick Boseman",572.1,5,114.4,"Captain America 3",408.1
"63","Kate Bosworth",529.3,19,27.9,"Superman Returns",200.1
"64","Sofia Boutella",418.8,4,104.7,"Star Trek Beyond",158.8
"65","John Boyega",975,4,243.7,"Star Wars: The Force Awakens",936.7
"66","Luke Bracey",171,5,34.2,"Hacksaw Ridge",67.2
"67","Zach Braff",281.7,6,47,"Oz The Great and Powerful",234.9
"68","Kenneth Branagh",908.9,19,47.8,"Harry Potter / Chamber of Secrets",262
"69","Russell Brand",1187.4,10,118.7,"Despicable Me 2",368.1
"70","Marlon Brando",552.5,12,46,"The Godfather",135
"71","Benjamin Bratt",843.4,20,42.2,"Despicable Me 2",368.1
"72","Ewen Bremner",1161.8,16,72.6,"Wonder Woman",412.6
"73","Abigail Breslin",1103.9,20,55.2,"Signs",228
"74","Jordana Brewster",1157.8,7,165.4,"Furious 7",353
"75","Chris 'Ludacris' Bridges",1495.4,13,115,"Furious 7",353
"76","Jeff Bridges",1785.9,53,33.7,"Iron Man",318.4
"77","Jim Broadbent",1112.7,43,25.9,"Harry Potter 6",302
"78","Matthew Broderick",1351.7,34,39.8,"Lion King",422.8
"79","Adam Brody",360.3,17,21.2,"Mr. & Mrs. Smith",186.3
"80","Adrien Brody",603.2,32,18.9,"King Kong",218.1
"81","Josh Brolin",1616.3,36,44.9,"Avengers: Age of Ultron",459
"82","Albert Brooks",1208.3,21,57.5,"Finding Dory",486.3
"83","Pierce Brosnan",1490.2,39,38.2,"Mrs. Doubtfire",219.2
"84","Chris Brown",269.4,6,44.9,"Think Like a Man",91.5
"85","Emily Browning",238.9,10,23.9,"Lemony Snicket",118.6
"86","Sandra Bullock",2462.6,35,70.4,"Minions",336
"87","Billy Burke",1719.7,15,114.6,"The Twilight Saga: Eclipse",300.5
"88","Edward Burns",370.3,13,28.5,"Saving Private Ryan",216.5
"89","Ty Burrell",444.9,10,44.5,"The Incredible Hulk",134.8
"90","Gerard Butler",1434.3,29,49.5,"How to Train Your Dragon",217.6
"91","Amanda Bynes",435.6,7,62.2,"Robots",128.2
"92","Rose Byrne",1455.1,25,58.2,"Bridesmaids",169.1
"93","Nicolas Cage",2407.1,57,42.2,"National Treasure: Book of Secrets",220
"94","Michael Caine",3396.5,59,57.6,"The Dark Knight",534.9
"95","Neve Campbell",432.8,12,36.1,"Scream",103
"96","Steve Carell",2987.7,29,103,"Despicable Me 2",368.1
"97","Jim Carrey",2545.4,28,90.9,"The Grinch",260
"98","Helena Bonham Carter",2822,36,78.4,"Harry Potter / Deathly Hallows (P2)",381
"99","Dana Carvey",241.6,7,34.5,"Wayne's World",121.7
"100","Katie Cassidy",150.4,4,37.6,"Nightmare on Elm Street",63.1
"101","James Caviezel",730.9,20,36.5,"Passion of the Christ",370.8
"102","Henry Cavill",1082.9,11,98.4,"Batman v Superman",330.4
"103","Cedric the Entertainer",1509.2,28,53.9,"Madagascar 3",216.4
"104","John Cena",322.8,7,46.1,"Trainwreck",110.2
"105","Michael Cera",763.1,15,50.9,"The LEGO Batman Movie",175.8
"106","Jackie Chan",1738.2,31,56.1,"Rush Hour 2",226.2
"107","Jay Chandrasekhar",NA,1,NA,"The Slammin' Salmon",NA
"108","Jessica Chastain",1161.1,19,61.1,"The Martian",228.4
"109","Don Cheadle",2885.5,34,84.9,"Avengers: Age of Ultron",459
"110","Cher",373.1,11,33.9,"Moonstruck",80.6
"111","Morris Chestnut",648.4,15,43.2,"Identity Thief",134.5
"112","Jay Chou",105.3,2,52.7,"The Green Hornet",98.8
"113","Erika Christensen",203.5,11,18.5,"Flightplan",89.7
"114","Hayden Christensen",867.7,10,86.8,"Revenge of the Sith",380.3
"115","Jamie Chung",570.9,9,63.4,"The Hangover Part II",254.5
"116","Thomas Haden Church",1154.4,18,64.1,"Spider-Man 3",336.5
"117","Jemaine Clement",745.1,13,57.3,"Moana",248.8
"118","George Clooney",2078.8,34,61.1,"Gravity",274.1
"119","Glenn Close",1361.1,32,42.5,"Guardians of the Galaxy",333.2
"120","Sacha Baron Cohen",1345.9,12,112.2,"Madagascar 3",216.4
"121","Toni Collette",970.4,37,26.2,"Sixth Sense",293.5
"122","Lily Collins",413.1,9,45.9,"The Blind Side",256
"123","Sean 'P. Diddy' Combs",126.4,4,31.6,"Get Him to the Greek",61
"124","Common",1292.9,19,68,"Suicide Squad",325.1
"125","Jennifer Connelly",945.9,33,28.7,"A Beautiful Mind",170.7
"126","Sean Connery",1550.6,37,41.9,"Indiana Jones and the Last Crusade",197.2
"127","Steve Coogan",1990.7,28,71.1,"Despicable Me 2",368.1
"128","Sophie Cookson",276.8,3,92.3,"Kingsman",128.3
"129","Jennifer Coolidge",551.6,14,39.4,"Legally Blonde",96.5
"130","Bradley Cooper",2947.5,26,113.4,"Guardians of the Galaxy 2",389.8
