"","DIS","CMCSA","TWX","SNE","FOXA","VIAB"
"2012-04-18",40.03293,27.716542,31.863693,16.889999,16.475492,42.905994
"2012-04-19",39.646639,27.363819,31.942871,16.700001,16.150599,42.887844
"2012-04-20",39.901023,27.335974,32.197986,16.83,16.253198,42.905994
"2012-04-23",39.580684,26.955405,31.90768,16.51,16.227542,42.098331
"2012-04-24",39.740855,27.243152,32.039634,16.620001,16.441289,41.862386
"2012-04-25",40.230785,27.521616,32.70823,16.42,16.475492,42.588375
"2012-04-26",40.852619,28.069264,33.324037,16.5,16.766183,43.051192
"2012-04-27",40.843196,28.106393,33.491188,16.32,16.740534,42.987668
"2012-04-30",40.617076,28.171368,32.963356,16.209999,16.766183,42.098331
"2012-05-01",41.257754,28.403422,33.359224,15.99,16.920079,42.29798
"2012-05-02",41.022211,28.236343,32.805003,15.73,17.005576,43.042119
"2012-05-03",41.276598,28.18065,32.532289,15.52,16.85168,44.485024
"2012-05-04",40.447485,27.335974,31.978058,15.32,16.398539,43.786258
"2012-05-07",41.286018,27.503051,31.670153,15.31,16.586638,43.514013
"2012-05-08",41.738261,27.289562,31.397439,15.02,16.526787,42.624676
"2012-05-09",42.416626,27.076072,31.353449,15.23,16.569537,42.751723
"2012-05-10",42.66159,27.503051,31.555788,15.38,17.37322,43.459562
"2012-05-11",42.925401,27.270997,31.397439,14.18,17.287722,43.278064
"2012-05-14",42.55795,26.816171,31.291873,14.2,17.219324,43.314364
"2012-05-15",42.407203,26.779043,31.036748,13.91,17.039781,42.642826
"2012-05-16",42.473158,26.779043,31.027959,13.76,16.868784,42.878771
"2012-05-17",41.766528,26.314935,30.456129,14.24,16.637933,42.379654
"2012-05-18",41.276598,26.24996,30.148224,13.77,16.475492,41.635514
"2012-05-21",41.823056,26.649092,30.350563,14.13,16.672138,42.561152
"2012-05-22",41.823056,26.862583,30.39455,14,16.706331,42.543002
"2012-05-23",41.653465,26.723351,30.280188,13.83,16.398539,42.842471
"2012-05-24",41.870164,26.853301,30.420941,13.76,16.569537,43.922383
"2012-05-25",41.926696,26.779043,30.526514,13.3,16.612287,43.559386
"2012-05-29",42.850025,27.122483,31.262198,13.55,16.834579,44.348899
"2012-05-30",42.586218,26.871865,30.579688,13.03,16.586638,43.423262
"2012-05-31",43.066724,26.834736,30.553101,13.24,16.415641,43.314364
"2012-06-01",41.83248,26.574835,29.92378,12.65,15.859908,41.980357
"2012-06-04",41.8419,26.871865,30.242872,12.79,15.894102,41.51754
"2012-06-05",42.247035,26.946123,30.171965,13.2,15.911203,41.426793
"2012-06-06",42.897133,27.62372,30.898784,13.59,16.586638,42.352427
"2012-06-07",42.991352,27.855774,31.022875,13.31,16.492593,42.996745
"2012-06-08",43.566079,28.097111,31.226734,12.85,16.620832,43.23269
"2012-06-11",43.15152,27.790799,30.632873,12.76,16.364346,42.697273
"2012-06-12",43.697982,28.26419,31.315372,13.07,16.843135,43.396038
"2012-06-13",43.556655,27.827927,30.872193,12.76,16.731989,42.131899
"2012-06-14",44.45172,28.505525,31.40401,12.98,16.97993,42.688669
"2012-06-15",44.366924,28.858248,32.28151,13.18,17.159472,43.510129
"2012-06-18",44.376344,28.923223,32.928564,13.43,17.176576,43.318455
"2012-06-19",44.762635,29.062455,33.088111,13.56,17.304823,43.701806
"2012-06-20",44.969914,28.95107,32.910835,13.97,17.510014,44.176429
"2012-06-21",44.658999,28.477679,33.034926,13.55,17.236427,43.309329
"2012-06-22",44.724951,28.616911,33.229927,14.31,17.407424,43.208928
